Rank,Title,Year,Cast,Character
90,Avengers: Age of Ultron,2015,James Spader,Ultron
90,Avengers: Age of Ultron,2015,Samuel L. Jackson,Nick Fury
90,Avengers: Age of Ultron,2015,Don Cheadle,James Rhodes / War Machine
90,Avengers: Age of Ultron,2015,Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver
91,Star Wars: Episode II - Attack of the Clones,2002,Ewan McGregor,Obi-Wan Kenobi
91,Star Wars: Episode II - Attack of the Clones,2002,Natalie Portman,Padm̩
91,Star Wars: Episode II - Attack of the Clones,2002,Hayden Christensen,Anakin Skywalker
91,Star Wars: Episode II - Attack of the Clones,2002,Christopher Lee,Count Dooku / Darth Tyranus
91,Star Wars: Episode II - Attack of the Clones,2002,Samuel L. Jackson,Mace Windu
91,Star Wars: Episode II - Attack of the Clones,2002,Frank Oz,Yoda
91,Star Wars: Episode II - Attack of the Clones,2002,Ian McDiarmid,Supreme Chancellor Palpatine
91,Star Wars: Episode II - Attack of the Clones,2002,Pernilla August,Shmi Skywalker
91,Star Wars: Episode II - Attack of the Clones,2002,Temuera Morrison,Jango Fett
91,Star Wars: Episode II - Attack of the Clones,2002,Jimmy Smits,Senator Bail Organa
92,Mrs. Doubtfire,1993,Robin Williams,Daniel Hillard / Mrs. Doubtfire
92,Mrs. Doubtfire,1993,Sally Field,Miranda Hillard
92,Mrs. Doubtfire,1993,Pierce Brosnan,Stu
92,Mrs. Doubtfire,1993,Harvey Fierstein,Frank
92,Mrs. Doubtfire,1993,Polly Holliday,Gloria
92,Mrs. Doubtfire,1993,Lisa Jakub,Lydia Hillard
92,Mrs. Doubtfire,1993,Matthew Lawrence,Chris Hillard
92,Mrs. Doubtfire,1993,Mara Wilson,Natalie Hillard
92,Mrs. Doubtfire,1993,Robert Prosky,Mr. Lundy
92,Mrs. Doubtfire,1993,Anne Haney,Mrs. Sellner
93,Aladdin,1992,Scott Weinger,Aladdin
93,Aladdin,1992,Robin Williams,Genie / Peddler
93,Aladdin,1992,Linda Larkin,Jasmine
93,Aladdin,1992,Jonathan Freeman,Jafar
93,Aladdin,1992,Frank Welker,Abu / Cave of Wonders / Rajah
93,Aladdin,1992,Gilbert Gottfried,Iago
93,Aladdin,1992,Douglas Seale,Sultan
93,Aladdin,1992,Charles Adler,Gazeem / Melon Merchant / Nut Merchant
93,Aladdin,1992,Jack Angel,Additional Voices
93,Aladdin,1992,Corey Burton,Prince Achmed / Necklace Merchant
94,Toy Story 3,2010,Tom Hanks,Woody
94,Toy Story 3,2010,Tim Allen,Buzz Lightyear
94,Toy Story 3,2010,Joan Cusack,Jessie
94,Toy Story 3,2010,Ned Beatty,Lotso
94,Toy Story 3,2010,Don Rickles,Mr. Potato Head
94,Toy Story 3,2010,Michael Keaton,Ken
94,Toy Story 3,2010,Wallace Shawn,Rex
94,Toy Story 3,2010,John Ratzenberger,Hamm
94,Toy Story 3,2010,Estelle Harris,Mrs. Potato Head
94,Toy Story 3,2010,John Morris,Andy
95,Ghost,1990,Patrick Swayze,Sam Wheat
95,Ghost,1990,Demi Moore,Molly Jensen
95,Ghost,1990,Whoopi Goldberg,Oda Mae Brown
95,Ghost,1990,Tony Goldwyn,Carl Bruner
95,Ghost,1990,Stanley Lawrence,Elevator Man
95,Ghost,1990,Christopher J. Keene,Elevator Man
95,Ghost,1990,Susan Breslau,Susan
95,Ghost,1990,Martina Deignan,Rose
95,Ghost,1990,Rick Kleber,Mover
95,Ghost,1990,Macka Foley,Mover
96,The Hunger Games: Catching Fire,2013,Jennifer Lawrence,Katniss Everdeen
96,The Hunger Games: Catching Fire,2013,Liam Hemsworth,Gale Hawthorne
96,The Hunger Games: Catching Fire,2013,Jack Quaid,Marvel
96,The Hunger Games: Catching Fire,2013,Taylor St. Clair,Ripper
96,The Hunger Games: Catching Fire,2013,Sandra Ellis Lafferty,Greasy Sae
96,The Hunger Games: Catching Fire,2013,Woody Harrelson,Haymitch Abernathy
96,The Hunger Games: Catching Fire,2013,Josh Hutcherson,Peeta Mellark
96,The Hunger Games: Catching Fire,2013,Paula Malcomson,Katniss' Mother
96,The Hunger Games: Catching Fire,2013,Willow Shields,Primrose Everdeen
96,The Hunger Games: Catching Fire,2013,Donald Sutherland,President Snow
97,Duel in the Sun,1946,Jennifer Jones,Pearl Chavez
97,Duel in the Sun,1946,Joseph Cotten,Jesse McCanles
97,Duel in the Sun,1946,Gregory Peck,Lewton 'Lewt' McCanles
97,Duel in the Sun,1946,Lionel Barrymore,Sen. Jackson McCanles
97,Duel in the Sun,1946,Herbert Marshall,Scott Chavez
97,Duel in the Sun,1946,Lillian Gish,Laura Belle McCanles
97,Duel in the Sun,1946,Walter Huston,The Sinkiller
97,Duel in the Sun,1946,Charles Bickford,Sam Pierce
97,Duel in the Sun,1946,Harry Carey,Lem Smoot
97,Duel in the Sun,1946,Joan Tetzel,Helen Langford
98,The Hunger Games,2012,Stanley Tucci,Caesar Flickerman
98,The Hunger Games,2012,Wes Bentley,Seneca Crane
98,The Hunger Games,2012,Jennifer Lawrence,Katniss Everdeen
98,The Hunger Games,2012,Willow Shields,Primrose Everdeen
98,The Hunger Games,2012,Liam Hemsworth,Gale Hawthorne
98,The Hunger Games,2012,Elizabeth Banks,Effie Trinket
98,The Hunger Games,2012,Sandra Ellis Lafferty,Hob Vendor
98,The Hunger Games,2012,Paula Malcomson,Katniss' Mother
98,The Hunger Games,2012,Rhoda Griffis,Registration Woman
98,The Hunger Games,2012,Sandino Moya,Propaganda Film Tribute
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Johnny Depp,Jack Sparrow
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Geoffrey Rush,Barbossa
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Orlando Bloom,Will Turner
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Keira Knightley,Elizabeth Swann
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Jack Davenport,Norrington
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Jonathan Pryce,Governor Weatherby Swann
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Lee Arenberg,Pintel
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Mackenzie Crook,Ragetti
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Damian O'Hare,Lt. Gillette
99,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Giles New,Murtogg
100,House of Wax,1953,Elisha Cuthbert,Carly Jones
100,House of Wax,1953,Chad Michael Murray,Nick Jones
100,House of Wax,1953,Brian Van Holt,Bo / Vincent
100,House of Wax,1953,Paris Hilton,Paige Edwards
100,House of Wax,1953,Jared Padalecki,Wade
100,House of Wax,1953,Jon Abrahams,Dalton Chapman
100,House of Wax,1953,Robert Ri'chard,Blake
100,House of Wax,1953,Dragicia Debert,Trudy Sinclair
100,House of Wax,1953,Thomas Adamson,Young Bo
100,House of Wax,1953,Murray Smith,Dr. Victor Sinclair
